Title,Price,Rating,Colors,Size,Gender,Timestamp
T-shirt 2,1634400.0,3.9,0,M,Women,2026-05-05 20:37:50.852925
Hoodie 3,7950080.0,4.8,0,L,Unisex,2026-05-05 20:37:50.852926
Pants 4,7476960.0,3.3,0,XL,Men,2026-05-05 20:37:50.852926
Outerwear 5,5145440.0,3.5,0,XXL,Women,2026-05-05 20:37:50.852926
Jacket 6,2453920.0,3.3,0,S,Unisex,2026-05-05 20:37:50.852927
Crewneck 7,6892000.0,4.3,0,M,Men,2026-05-05 20:37:50.852927
T-shirt 8,7802560.0,3.1,0,L,Women,2026-05-05 20:37:50.852927
Hoodie 9,3972160.0,3.2,0,XL,Unisex,2026-05-05 20:37:50.852927
Pants 10,3100160.0,4.2,0,XXL,Men,2026-05-05 20:37:50.852927
Jacket 12,8527840.0,3.9,0,M,Unisex,2026-05-05 20:37:50.852928
Crewneck 13,5447200.0,3.2,0,L,Men,2026-05-05 20:37:50.852928
T-shirt 14,3248800.0,3.8,0,XL,Women,2026-05-05 20:37:50.852928
Hoodie 15,2184160.0,3.6,0,XXL,Unisex,2026-05-05 20:37:50.852928
Pants 16,0.0,0.0,0,S,Men,2026-05-05 20:37:50.852928
Outerwear 17,841600.0,3.8,0,M,Women,2026-05-05 20:37:50.852929
Jacket 18,5500000.0,3.8,0,L,Unisex,2026-05-05 20:37:50.852929
Crewneck 19,1308960.0,3.6,0,XL,Men,2026-05-05 20:37:50.852929
T-shirt 20,1325600.0,3.4,0,XXL,Women,2026-05-05 20:37:50.852929
Pants 22,4319680.0,4.9,0,M,Men,2026-05-05 20:37:51.962170
Outerwear 23,4655840.0,3.7,0,L,Women,2026-05-05 20:37:51.962170
Jacket 24,8223520.0,3.9,0,XL,Unisex,2026-05-05 20:37:51.962170
Crewneck 25,8322559.999999999,3.3,0,XXL,Men,2026-05-05 20:37:51.962170
T-shirt 26,7292320.0,4.6,0,S,Women,2026-05-05 20:37:51.962171
Hoodie 27,3551840.0,4.8,0,M,Unisex,2026-05-05 20:37:51.962171
Pants 28,5216160.0,4.0,0,L,Men,2026-05-05 20:37:51.962171
Outerwear 29,861600.0,3.1,0,XL,Women,2026-05-05 20:37:51.962171
Jacket 30,8610240.0,3.7,0,XXL,Unisex,2026-05-05 20:37:51.962172
T-shirt 32,6657920.0,3.4,0,M,Women,2026-05-05 20:37:51.962172
Hoodie 33,7248160.0,3.5,0,L,Unisex,2026-05-05 20:37:51.962172
Pants 34,8362719.999999999,3.8,0,XL,Men,2026-05-05 20:37:51.962172
Outerwear 35,1356160.0,3.8,0,XXL,Women,2026-05-05 20:37:51.962172
Jacket 36,7249280.0,3.7,0,S,Unisex,2026-05-05 20:37:51.962173
Crewneck 37,6006080.0,4.0,0,M,Men,2026-05-05 20:37:51.962173
T-shirt 38,4866080.0,3.2,0,L,Women,2026-05-05 20:37:51.962173
Hoodie 39,6431200.0,4.6,0,XL,Unisex,2026-05-05 20:37:51.962173
Pants 40,5853600.0,3.1,0,XXL,Men,2026-05-05 20:37:51.962173
Jacket 42,6744160.0,3.7,0,M,Unisex,2026-05-05 20:37:53.061956
Crewneck 43,2909600.0,4.5,0,L,Men,2026-05-05 20:37:53.061956
T-shirt 44,3312320.0,3.0,0,XL,Women,2026-05-05 20:37:53.061956
Hoodie 45,8693120.0,4.5,0,XXL,Unisex,2026-05-05 20:37:53.061957
Pants 46,0.0,0.0,0,S,Men,2026-05-05 20:37:53.061957
Outerwear 47,6364640.0,3.2,0,M,Women,2026-05-05 20:37:53.061957
Jacket 48,4994720.0,3.4,0,L,Unisex,2026-05-05 20:37:53.061957
